Zipcode,Population,Poverty Rate
01832,22121.0,10.9036661995389
01833,8295.0,2.3025919228450875
01834,6675.0,2.1872659176029963
01835,13527.0,8.523693354032675
01840,4547.0,39.54255553111942
01841,47676.0,30.0654417316889
01843,24597.0,24.46639834126113
01844,47690.0,8.43363388551059
01845,28677.0,5.227185549394986
01850,15496.0,19.972896231285493
01851,29791.0,16.457990668322648
01852,33106.0,17.012021989971608
01854,29073.0,20.7752897877756
01860,6440.0,2.857142857142857
01862,10992.0,5.522197962154294
01863,9526.0,7.495276086500105
01864,15076.0,4.782435659326081
01867,24524.0,1.7003751427173381
01876,28778.0,3.0926402112724998
01879,11675.0,5.918629550321199
01880,25116.0,3.8819875776397517
01886,22458.0,1.8300828212663638
01887,22656.0,2.3393361581920904
01890,21621.0,3.3254706072799594
01901,2023.0,28.126544735541277
01902,44827.0,23.70223302920115
01904,18803.0,5.531032282082647
01905,25090.0,26.624153049023516
01906,27051.0,4.957302872352224
01907,14086.0,4.685503336646316
01908,3432.0,2.8846153846153846
01913,16429.0,5.429423580254428
01915,40026.0,7.957327736970969
01921,8040.0,0.8706467661691543
01922,3025.0,2.1818181818181817
01923,26810.0,5.136143230138008
01929,3546.0,3.496897913141568
01930,29043.0,10.09193265158558
01937,89.0,49.438202247191015
01938,13354.0,5.047176875842444
01940,12299.0,2.1139930075615903
01944,5185.0,5.8052073288331725
01945,19958.0,5.381300731536226
01949,9131.0,3.0993319461176214
01950,17569.0,8.230405828447834
01951,3707.0,7.175613703803615
01952,8396.0,7.956169604573606
01960,51319.0,6.19848399228356
01966,7040.0,4.360795454545454
01969,5914.0,9.959418329387892
01970,41747.0,14.920832634680336
01982,7995.0,2.351469668542839
01983,6211.0,6.021574625664145
01984,4964.0,2.6994359387590654
01985,4305.0,6.016260162601626
02019,16438.0,2.3056332887212556
02021,21781.0,5.807814149947202
02025,7935.0,4.410838059231254
02026,24906.0,4.1315345699831365
02030,5677.0,0.31706887440549586
02032,3884.0,3.29557157569516
02035,16990.0,4.0200117716303705
02038,32064.0,4.147954091816367
02043,22330.0,2.624272279444693
02045,10319.0,5.89204380269406
02047,111.0,0.0
02048,23293.0,4.018374618984244
02050,25647.0,4.1798261005185795
02052,12136.0,4.251812788398154
02053,12866.0,3.0701072594434944
02054,7950.0,6.163522012578617
02056,11274.0,4.479332978534681
02061,10560.0,2.585227272727273
02062,28698.0,7.7566380932469166
02066,17730.0,2.7354765933446137
02067,17591.0,3.268716957535103
02071,1770.0,0.0
02072,27522.0,7.477654240244168
02081,19006.0,3.7461854151320635
02090,14714.0,2.2087807530243304
02093,11058.0,5.199855308374028
02108,4062.0,7.730182176267848
02109,4241.0,9.691110587125678
02110,1752.0,15.296803652968036
02111,7771.0,26.920602239094066
02113,6843.0,14.759608358906911
02114,11994.0,14.015341003835251
02115,28928.0,24.567892699115045
02116,21793.0,12.678382967007755
02118,27873.0,25.07444480321458
02119,24767.0,32.918803246255095
02120,14221.0,37.592293087687224
02121,27093.0,32.16328941054885
02122,24546.0,21.213232298541513
02124,51382.0,20.322291853178157
02125,34172.0,28.28046353739904
02126,27984.0,18.903659233847915
02127,33825.0,17.948263118994827
02128,43575.0,16.789443488238668
02129,17454.0,18.83235934456285
02130,37541.0,17.14125889027996
02131,30960.0,13.343023255813954
02132,27628.0,4.2312147097147825
02134,19009.0,31.64816665789889
02135,36932.0,21.994476334885736
02136,29271.0,10.2763827679273
02138,35554.0,9.096022951004107
02139,36015.0,14.058031375815633
02140,18164.0,12.568817441092271
02141,13126.0,17.81197623038245
02142,2838.0,18.287526427061312
02143,26056.0,13.570770647835431
02144,23854.0,14.400100612056677
02145,24659.0,16.346972707733485
02148,59819.0,15.928049616342633
02149,42076.0,13.147637608137655
02150,36222.0,23.3780575340953
02151,52534.0,15.338637834545247
02152,17763.0,9.170748184428305
02155,58832.0,9.017201522980692
02163,2100.0,14.095238095238095
02169,55064.0,10.542278076420166
02170,19796.0,10.507173166296221
02171,17735.0,9.816746546377221
02176,27239.0,4.075039465472301
02180,21498.0,4.312029025955903
02184,36051.0,5.006795927990901
02186,27094.0,4.587731601092493
02188,14655.0,7.717502558853633
02189,14609.0,11.848860291601067
02190,16733.0,4.350684276579215
02191,8369.0,5.807145417612618
02199,1273.0,5.106048703849175
02203,0.0,
02210,1894.0,3.907074973600845
02215,24213.0,19.332589931028785
02301,58982.0,19.568681970770744
02302,34929.0,14.363422943685762
02322,4400.0,1.1363636363636365
02324,26573.0,5.731381477439506
02330,11493.0,6.247280953623945
02332,15126.0,2.8493983868835118
02333,13894.0,3.2819922268605155
02338,7546.0,4.373177842565598
02339,14027.0,3.5146503172453127
02341,10250.0,3.1414634146341465
02343,10667.0,7.602887409768445
02346,23247.0,7.661203596162946
02347,10798.0,5.426930913132061
02351,16009.0,3.4418139796364544
02356,12625.0,1.9405940594059405
02357,959.0,2.0855057351407718
02359,17916.0,3.8289796829649476
02360,56816.0,6.455927907631653
02364,12673.0,4.742365659275626
02366,149.0,0.0
02367,2834.0,3.9167254763585038
02368,32952.0,10.67310026705511
02370,17546.0,5.608115809871196
02375,9833.0,4.11878368758263
02379,6928.0,3.7817551963048497
02382,14567.0,7.736665064872658
02420,14073.0,3.687913024941377
02421,17813.0,3.980239151181721
02445,20844.0,10.44425254269814
02446,28924.0,14.441294426773613
02451,17299.0,6.4859240418521305
02452,15025.0,7.227953410981697
02453,28997.0,11.280477290754217
02457,1343.0,0.0
02458,11602.0,6.541975521461817
02459,18339.0,4.313212279840776
02460,9046.0,6.588547424275923
02461,6808.0,7.079905992949471
